Id transacción,Comercio Id,Mes Operacion,Estado,Moneda,# Transacciones,Monto Transaccion,Monto Contracargo (Venta)
1178,19,1/8/2021,FAILED,MXN,"35,346","46,208,701.88",0
1179,19,1/8/2021,EXPIRED,MXN,"11,617","8,896,853.68",0
1180,19,1/8/2021,CANCELLED,MXN,"5,444","8,216,017.34",0
1181,19,1/8/2021,IN_PROGRESS,MXN,817,"972,432",0
1182,19,1/8/2021,ERROR,MXN,322,"279,713.51",0
1183,20,1/7/2021,COMPLETED,MXN,"81,523","37,938,779.52","570,342.48"
1184,20,1/7/2021,FAILED,MXN,"33,200","23,652,065.49",0
1185,20,1/7/2021,ERROR,MXN,136,"65,171.27",0
1186,20,1/8/2021,COMPLETED,MXN,"90,639","44,031,151.78","827,764.96"
1187,20,1/8/2021,FAILED,MXN,"42,897","31,086,039.04",0
1188,20,1/8/2021,ERROR,MXN,112,"63,257.05",0
1189,21,1/7/2021,COMPLETED,MXN,"71,398","19,730,519",0
1190,21,1/7/2021,IN_PROGRESS,MXN,"42,328","17,212,675",0
1191,21,1/7/2021,FAILED,MXN,"3,144","874,400.01",0
1192,21,1/8/2021,COMPLETED,MXN,"77,138","21,150,471",0
1193,21,1/8/2021,IN_PROGRESS,MXN,"44,798","18,239,892",0
1194,21,1/8/2021,FAILED,MXN,"3,029","822,306.28",0
1195,22,1/7/2021,COMPLETED,MXN,"28,845","8,712,649",0
1196,22,1/7/2021,FAILED,MXN,"25,519","8,228,017",0
1197,22,1/7/2021,IN_PROGRESS,MXN,"19,087","7,406,305",0
1198,22,1/7/2021,EXPIRED,MXN,"10,168","3,184,002",0
1199,22,1/7/2021,CANCELLED,MXN,"6,450","2,282,434",0
1200,22,1/7/2021,ERROR,MXN,342,"116,851",0
1201,22,1/8/2021,FAILED,MXN,"31,381","10,014,172.60",0
1202,22,1/8/2021,COMPLETED,MXN,"28,729","8,447,641",0
1203,22,1/8/2021,IN_PROGRESS,MXN,"26,859","10,359,300",0
1204,22,1/8/2021,EXPIRED,MXN,"10,563","3,183,963",0
1205,22,1/8/2021,CANCELLED,MXN,"6,634","2,281,028",0
1206,22,1/8/2021,ERROR,MXN,61,"19,567",0
1207,23,1/7/2021,IN_PROGRESS,MXN,"69,113","304,653,902.73",0
1208,23,1/7/2021,CANCELLED,MXN,"11,692","82,899,593.60",0
1209,23,1/7/2021,COMPLETED,MXN,"4,917","30,986,642.18",0
