tx_agg_id,merchant_id,op_month_date,status,cc,tx_cnt,tx_amt,cb_amt,total_terminal_tx_amt,completed_tx_cnt_per,all_statuses_flag
1714,88,2021-08-01,COMPLETED,MXN,6935,973304.08,0.0,12919153058.399994,0.6448763250883393,0
1715,88,2021-08-01,FAILED,MXN,3432,1746622.94,0.0,9063826205.330002,0.6448763250883393,0
1716,88,2021-08-01,CANCELLED,MXN,381,223536.33,0.0,0.0,0.6448763250883393,0
1717,88,2021-08-01,ERROR,MXN,6,467.32,0.0,0.0,0.6448763250883393,0
1718,89,2021-07-01,COMPLETED,MXN,8000,3478951.5,3443.0,12919153058.399994,0.5861664712778429,0
1719,89,2021-07-01,FAILED,MXN,5291,1568871.0,0.0,9063826205.330002,0.5861664712778429,0
1720,89,2021-07-01,IN_PROGRESS,MXN,257,350941.0,0.0,0.0,0.5861664712778429,0
1721,89,2021-07-01,CANCELLED,MXN,96,127435.5,0.0,0.0,0.5861664712778429,0
1722,89,2021-07-01,ERROR,MXN,4,7789.0,0.0,0.0,0.5861664712778429,0
1723,89,2021-08-01,COMPLETED,MXN,8149,3833640.0,7428.0,12919153058.399994,0.5660206987566854,0
1724,89,2021-08-01,FAILED,MXN,5751,2021139.0,0.0,9063826205.330002,0.5660206987566854,0
1725,89,2021-08-01,IN_PROGRESS,MXN,374,479772.0,0.0,0.0,0.5660206987566854,0
1726,89,2021-08-01,CANCELLED,MXN,108,157066.0,0.0,0.0,0.5660206987566854,0
1727,89,2021-08-01,EXPIRED,MXN,13,23150.0,0.0,0.0,0.5660206987566854,0
1728,89,2021-08-01,ERROR,MXN,2,178.0,0.0,0.0,0.5660206987566854,0
1729,90,2021-07-01,COMPLETED,MXN,10231,16698476.0,17290.0,12919153058.399994,0.7364670313849697,0
1730,90,2021-07-01,FAILED,MXN,2563,5838407.6,0.0,9063826205.330002,0.7364670313849697,0
1731,90,2021-07-01,IN_PROGRESS,MXN,1009,1507260.0,0.0,0.0,0.7364670313849697,0
1732,90,2021-07-01,CANCELLED,MXN,80,147770.0,0.0,0.0,0.7364670313849697,0
1733,90,2021-07-01,ERROR,MXN,9,11740.0,0.0,0.0,0.7364670313849697,0
1734,90,2021-08-01,COMPLETED,MXN,9874,18355945.0,1171940.0,12919153058.399994,0.7204144170436305,0
1735,90,2021-08-01,FAILED,MXN,2706,12654766.7,0.0,9063826205.330002,0.7204144170436305,0
1736,90,2021-08-01,IN_PROGRESS,MXN,1069,1684270.0,0.0,0.0,0.7204144170436305,0
1737,90,2021-08-01,CANCELLED,MXN,57,90760.0,0.0,0.0,0.7204144170436305,0
1738,91,2021-07-01,COMPLETED,MXN,10421,1421815.0,0.0,12919153058.399994,0.7716972748815166,0
1739,91,2021-07-01,FAILED,MXN,3073,475211.1,0.0,9063826205.330002,0.7716972748815166,0
1740,91,2021-07-01,CANCELLED,MXN,10,1422.0,0.0,0.0,0.7716972748815166,0
1741,91,2021-08-01,COMPLETED,MXN,10718,1469891.0,0.0,12919153058.399994,0.7944555629679045,0
1742,91,2021-08-01,FAILED,MXN,2772,427628.9,0.0,9063826205.330002,0.7944555629679045,0
1743,91,2021-08-01,CANCELLED,MXN,1,89.0,0.0,0.0,0.7944555629679045,0
1744,92,2021-07-01,FAILED,MXN,23889,22270701.04,0.0,9063826205.330002,0.017820565342072922,0
1745,92,2021-07-01,COMPLETED,MXN,435,335908.17,97738.16,12919153058.399994,0.017820565342072922,0
1746,92,2021-07-01,CANCELLED,MXN,83,45493.31,0.0,0.0,0.017820565342072922,0
1747,92,2021-07-01,ERROR,MXN,3,3061.75,0.0,0.0,0.017820565342072922,0
1748,92,2021-08-01,FAILED,MXN,1928,1698990.83,0.0,9063826205.330002,0.10819234194122886,0
1749,92,2021-08-01,COMPLETED,MXN,243,190967.69,26427.25,12919153058.399994,0.10819234194122886,0
1750,92,2021-08-01,CANCELLED,MXN,75,41322.3,0.0,0.0,0.10819234194122886,0
1751,93,2021-07-01,FAILED,MXN,10087,24826586.99,0.0,9063826205.330002,0.30079828268598646,0
1752,93,2021-07-01,COMPLETED,MXN,4484,10827157.94,262169.25,12919153058.399994,0.30079828268598646,0
1753,93,2021-07-01,CANCELLED,MXN,328,838297.13,0.0,0.0,0.30079828268598646,0
1754,93,2021-07-01,ERROR,MXN,8,26631.18,0.0,0.0,0.30079828268598646,0
1755,93,2021-08-01,FAILED,MXN,8163,21066347.45,0.0,9063826205.330002,0.2780075835918649,0
1756,93,2021-08-01,COMPLETED,MXN,3226,8419207.01,276983.13,12919153058.399994,0.2780075835918649,0
1757,93,2021-08-01,CANCELLED,MXN,215,601477.49,0.0,0.0,0.2780075835918649,0
1758,94,2021-07-01,FAILED,MXN,6450,6368558.48,0.0,9063826205.330002,0.48290221830703933,0
1759,94,2021-07-01,COMPLETED,MXN,6030,4729586.14,131427.39,12919153058.399994,0.48290221830703933,0
1760,94,2021-07-01,ERROR,MXN,5,4175.15,0.0,0.0,0.48290221830703933,0
1761,94,2021-07-01,CANCELLED,MXN,2,664.65,0.0,0.0,0.48290221830703933,0
1762,94,2021-08-01,FAILED,MXN,7027,6659854.01,0.0,9063826205.330002,0.48667591443381764,0
1763,94,2021-08-01,COMPLETED,MXN,6666,5528022.07,137133.03,12919153058.399994,0.48667591443381764,0
1764,94,2021-08-01,CANCELLED,MXN,4,7563.45,0.0,0.0,0.48667591443381764,0
1765,95,2021-07-01,COMPLETED,MXN,5232,1595848.15,4379.0,12919153058.399994,0.4315763424894828,0
1766,95,2021-07-01,CANCELLED,MXN,5014,2169685.0,0.0,0.0,0.4315763424894828,0
1767,95,2021-07-01,FAILED,MXN,1484,466776.08,0.0,9063826205.330002,0.4315763424894828,0
1768,95,2021-07-01,IN_PROGRESS,MXN,384,603416.0,0.0,0.0,0.4315763424894828,0
1769,95,2021-07-01,ERROR,MXN,9,3191.0,0.0,0.0,0.4315763424894828,0
1770,95,2021-08-01,COMPLETED,MXN,5298,1654148.01,5928.0,12919153058.399994,0.41203919738684086,0
1771,95,2021-08-01,CANCELLED,MXN,4998,2598956.44,0.0,0.0,0.41203919738684086,0
1772,95,2021-08-01,FAILED,MXN,1987,598666.0,0.0,9063826205.330002,0.41203919738684086,0
1773,95,2021-08-01,IN_PROGRESS,MXN,575,782872.0,0.0,0.0,0.41203919738684086,0
1774,96,2021-07-01,COMPLETED,MXN,7969,25293193.74,0.0,12919153058.399994,0.609204189282165,0
1775,96,2021-07-01,CANCELLED,MXN,5104,16587376.21,0.0,0.0,0.609204189282165,0
1776,96,2021-07-01,IN_PROGRESS,MXN,8,1082.2,0.0,0.0,0.609204189282165,0
1777,96,2021-08-01,COMPLETED,MXN,6352,29307106.4,0.0,12919153058.399994,0.5711716572250697,0
1778,96,2021-08-01,CANCELLED,MXN,4727,26488636.55,0.0,0.0,0.5711716572250697,0
1779,96,2021-08-01,IN_PROGRESS,MXN,42,154068.72,0.0,0.0,0.5711716572250697,0
1780,97,2021-07-01,FAILED,MXN,9415,87576539.0,0.0,9063826205.330002,0.35166225006022644,0
1781,97,2021-07-01,COMPLETED,MXN,5839,49275538.7,1838.0,12919153058.399994,0.35166225006022644,0
1782,97,2021-07-01,EXPIRED,MXN,1298,6639880.4,0.0,0.0,0.35166225006022644,0
1783,97,2021-07-01,ERROR,MXN,52,316856.0,0.0,0.0,0.35166225006022644,0
1784,97,2021-08-01,FAILED,MXN,2895,4357862.0,0.0,9063826205.330002,0.4190562888787741,0
1785,97,2021-08-01,COMPLETED,MXN,2762,3661243.0,0.0,12919153058.399994,0.4190562888787741,0
1786,97,2021-08-01,EXPIRED,MXN,931,1199086.0,0.0,0.0,0.4190562888787741,0
1787,97,2021-08-01,ERROR,MXN,3,2693.0,0.0,0.0,0.4190562888787741,0
1788,98,2021-07-01,FAILED,MXN,5956,6925770.71,0.0,9063826205.330002,0.4140353920888272,0
1789,98,2021-07-01,COMPLETED,MXN,4773,3577202.55,37918.0,12919153058.399994,0.4140353920888272,0
1790,98,2021-07-01,CANCELLED,MXN,353,493773.0,0.0,0.0,0.4140353920888272,0
1791,98,2021-07-01,EXPIRED,MXN,283,283389.74,0.0,0.0,0.4140353920888272,0
1792,98,2021-07-01,ERROR,MXN,137,106753.79,0.0,0.0,0.4140353920888272,0
1793,98,2021-07-01,IN_PROGRESS,MXN,26,40773.0,0.0,0.0,0.4140353920888272,0
1794,98,2021-08-01,FAILED,MXN,5953,4965666.99,0.0,9063826205.330002,0.42775782002979057,0
1795,98,2021-08-01,COMPLETED,MXN,4882,3135686.48,4322.0,12919153058.399994,0.42775782002979057,0
1796,98,2021-08-01,EXPIRED,MXN,302,205864.0,0.0,0.0,0.42775782002979057,0
1797,98,2021-08-01,CANCELLED,MXN,222,399467.0,0.0,0.0,0.42775782002979057,0
1798,98,2021-08-01,ERROR,MXN,27,16375.0,0.0,0.0,0.42775782002979057,0
